2501	101	865	0	0
7595	64	1742	113	0
239	101	2460	957	0
997	61	1377	14507	0
1674	114	1980	15057	0
1674	114	1980	15059	0
1674	114	1980	15061	0
1674	114	1980	15064	0
1674	114	1980	15133	0
1980	114	1674	15264	0
1980	101	1674	15418	0
387	27	2656	15720	0
2710	27	1362	17735	0
2710	27	1362	17780	0
3399	64	2416	18221	0
5924	23	2001	18647	0
12	113	7	19098	0
5788	83	7441	19497	0
5788	83	7441	19506	0
5788	83	7441	19512	0
5788	83	7441	19518	0
6912	118	6344	19812	0
3254	114	4486	19815	0
6751	76	2874	20988	0
6751	113	2874	20990	0
4824	79	2223	21151	0
6105	41	3350	21230	0
3075	121	357	21313	0
5529	15	7406	21686	0
174	133	7250	21728	0
6596	101	579	21744	0
6134	114	3350	21782	0
3727	136	5565	21883	0
6134	42	3350	21981	0
5529	15	4600	22034	0
3278	13	1160	22509	0
4600	87	6947	22671	0
7628	35	61	22726	0
6964	101	1370	22730	0
4600	87	6371	22792	0
446	102	3650	22864	0
446	102	3650	22884	0
4600	87	569	22901	0
446	102	3650	22911	0
2393	79	729	22979	0
4600	87	4004	23024	0
2656	98	387	23115	0
4600	87	6900	23151	0
956	114	7221	23188	0
4015	87	1062	23194	0
1083	27	6712	23220	0
4015	42	3907	23289	0
4600	87	1333	23303	0
4325	82	3165	23326	0
3165	82	2393	23358	0
3165	82	4325	23412	0
4600	87	2823	23435	0
1062	87	4152	23520	0
6964	101	4136	23553	0
4707	102	3165	23636	0
3165	102	4325	23664	0
4707	102	6621	23687	0
3165	102	4707	23812	0
3550	76	3694	24000	0
3550	76	3694	24053	0
6703	52	6357	24105	0
110	56	5997	24493	0
110	56	831	24494	0
110	56	1519	24494	0
110	56	1849	24494	0
110	56	2773	24494	0
110	56	3375	24494	0
110	56	4044	24494	0
110	56	4783	24494	0
110	56	3529	24494	0
110	56	6152	24494	0
110	56	4989	24494	0
110	56	3743	24494	0
110	56	1806	24494	0
110	56	3851	24494	0
110	56	4362	24494	0
110	56	1443	24494	0
110	56	1584	24494	0
110	56	7297	24494	0
110	56	6279	24495	0
110	56	6466	24495	0
110	56	529	24495	0
